Index,StudyName,GoogleDriveFolderName,ModelFilesLink,HydroClimate,ShortDescription,DV_Path,SV_Path,Start_Date,End_Date,Source,Metadata
s0118,s0118_DCRadjHist_cqlTAI_2020LU_salmonflows,s0118_DCRadjHist_cqlTAI_2020LU_salmonflows,s0118_DCRadjHist_cqlTAI_2020LU_salmonflows,COEQWAL TAIESM1,Same as 31 but using Coeqwal's TAIESM1 climate,s0118_DCRadjHist_cqlTAI_2020LU_salmonflows\Model_Files\DSS\output\s0118_DCRadjHist_cqlTAI_2020LU_salmonflows_DV_v1_20260315.dss,s0118_DCRadjHist_cqlTAI_2020LU_salmonflows\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.14.dss,10/31/1921,9/30/2021,,
s0119,s0119_DCRadjHist_cqlTAI_CVgwLU_eflows,s0119_DCRadjHist_cqlTAI_CVgwLU_eflows,s0119_DCRadjHist_cqlTAI_CVgwLU_eflows,COEQWAL TAIESM1,Same as 32 but using Coeqwal's TAIESM1 climate,s0119_DCRadjHist_cqlTAI_CVgwLU_eflows\Model_Files\DSS\output\s0119_DCRadjHist_cqlTAI_CVgwLU_eflows_DV_v1_20260314.dss,s0119_DCRadjHist_cqlTAI_CVgwLU_eflows\Model_Files\DSS\input\coeqwal_s9999_SV_v3.11.2.dss,10/31/1921,9/30/2021,,
s0120,s0120_DCRadjHist_cqlTAI_CVgwLU_salmonflows,s0120_DCRadjHist_cqlTAI_CVgwLU_salmonflows,s0120_DCRadjHist_cqlTAI_CVgwLU_salmonflows,COEQWAL TAIESM1,Same as 33 but using Coeqwal's TAIESM1 climate,s0120_DCRadjHist_cqlTAI_CVgwLU_salmonflows\Model_Files\DSS\output\s0120_DCRadjHist_cqlTAI_CVgwLU_salmonflows_DV_v1_20260315.dss,s0120_DCRadjHist_cqlTAI_CVgwLU_salmonflows\Model_Files\DSS\input\coeqwal_s9999_SV_v3.11.14.dss,10/31/1921,9/30/2021,,
s0121,s0121_DCRadjBL_cqlTAI_2020LU_PriorityHHS,s0121_DCRadjBL_cqlTAI_2020LU_PriorityHHS,s0121_DCRadjBL_cqlTAI_2020LU_PriorityHHS,COEQWAL TAIESM1,Same as 35 but using Coeqwal's TAIESM1 climate,s0121_DCRadjBL_cqlTAI_2020LU_PriorityHHS\Model_Files\DSS\output\s0121_DCRadjBL_cqlTAI_2020LU_PriorityHHS_DV_v1_20260315.dss,s0121_DCRadjBL_cqlTAI_2020LU_PriorityHHS\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.2.dss,10/31/1921,9/30/2021,,
s0122,s0122_DCRadjBL_cqlTAI_2020LU_PriorityFuncCWN,s0122_DCRadjBL_cqlTAI_2020LU_PriorityFuncCWN,s0122_DCRadjBL_cqlTAI_2020LU_PriorityFuncCWN,COEQWAL TAIESM1,Same as 36 but using Coeqwal's TAIESM1 climate,s0122_DCRadjBL_cqlTAI_2020LU_PriorityFuncCWN\Model_Files\DSS\output\s0122_DCRadjBL_cqlTAI_2020LU_PriorityFuncCWN_DV_v1_20260315.dss,s0122_DCRadjBL_cqlTAI_2020LU_PriorityFuncCWN\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.2.dss,10/31/1921,9/30/2021,,
s0123,s0123_DCRadjBL_cqlTAI_2020LU_PriorityFullCWN,s0123_DCRadjBL_cqlTAI_2020LU_PriorityFullCWN,s0123_DCRadjBL_cqlTAI_2020LU_PriorityFullCWN,COEQWAL TAIESM1,Same as 37 but using Coeqwal's TAIESM1 climate,s0123_DCRadjBL_cqlTAI_2020LU_PriorityFullCWN\Model_Files\DSS\output\s0123_DCRadjBL_cqlTAI_2020LU_PriorityFullCWN_DV_v1_20260315.dss,s0123_DCRadjBL_cqlTAI_2020LU_PriorityFullCWN\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.2.dss,10/31/1921,9/30/2021,,
s0124,s0124_USBRAlt3_cqlTAI_2020LU_DeltaOut65,s0124_USBRAlt3_cqlTAI_2020LU_DeltaOut65,s0124_USBRAlt3_cqlTAI_2020LU_DeltaOut65,COEQWAL TAIESM1,Same as 39 but using Coeqwal's TAIESM1 climate,s0124_USBRAlt3_cqlTAI_2020LU_DeltaOut65\Model_Files\DSS\output\s0124_USBRAlt3_cqlTAI_2020LU_DeltaOut65_DV_v1_20260315.dss,s0124_USBRAlt3_cqlTAI_2020LU_DeltaOut65\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.3.dss,10/31/1921,9/30/2021,,
s0125,s0125_USBRAlt3_cqlTAI_2020LU_DeltaOut35,s0125_USBRAlt3_cqlTAI_2020LU_DeltaOut35,s0125_USBRAlt3_cqlTAI_2020LU_DeltaOut35,COEQWAL TAIESM1,Same as 40 but using Coeqwal's TAIESM1 climate,s0125_USBRAlt3_cqlTAI_2020LU_DeltaOut35\Model_Files\DSS\output\s0125_USBRAlt3_cqlTAI_2020LU_DeltaOut35_DV_v1_20260316.dss,s0125_USBRAlt3_cqlTAI_2020LU_DeltaOut35\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.3.dss,10/31/1921,9/30/2021,,
s0126,s0126_USBRAlt3_cqlTAI_2020LU_DeltaOut45,s0126_USBRAlt3_cqlTAI_2020LU_DeltaOut45,s0126_USBRAlt3_cqlTAI_2020LU_DeltaOut45,COEQWAL TAIESM1,Same as 41 but using Coeqwal's TAIESM1 climate,s0126_USBRAlt3_cqlTAI_2020LU_DeltaOut45\Model_Files\DSS\output\s0126_USBRAlt3_cqlTAI_2020LU_DeltaOut45_DV_v1_20260316.dss,s0126_USBRAlt3_cqlTAI_2020LU_DeltaOut45\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.3.dss,10/31/1921,9/30/2021,,
s0127,s0127_USBRAlt3_cqlTAI_2020LU_DeltaOut55,s0127_USBRAlt3_cqlTAI_2020LU_DeltaOut55,s0127_USBRAlt3_cqlTAI_2020LU_DeltaOut55,COEQWAL TAIESM1,Same as 42 but using Coeqwal's TAIESM1 climate,s0127_USBRAlt3_cqlTAI_2020LU_DeltaOut55\Model_Files\DSS\output\s0127_USBRAlt3_cqlTAI_2020LU_DeltaOut55_DV_v1_20260317.dss,s0127_USBRAlt3_cqlTAI_2020LU_DeltaOut55\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.3.dss,10/31/1921,9/30/2021,,
s0128,s0128_DCRadjHist_TAIESM1_2020LU_ShastaCarryover20,s0128_DCRadjHist_TAIESM1_2020LU_ShastaCarryover20,s0128_DCRadjHist_TAIESM1_2020LU_ShastaCarryover20,COEQWAL TAIESM1,Same as 44 but using Coeqwal's TAIESM1 climate,s0128_DCRadjHist_TAIESM1_2020LU_ShastaCarryover20\Model_Files\DSS\output\s0128_DCRadjHist_TAIESM1_2020LU_ShastaCarryover20_20250217.dss,s0128_DCRadjHist_TAIESM1_2020LU_ShastaCarryover20\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.2.dss,10/31/1921,9/30/2021,,
s0129,s0129_DCRadjBL_cqlTAI_2020LU_RelaxFallX2,s0129_DCRadjBL_cqlTAI_2020LU_RelaxFallX2,s0129_DCRadjBL_cqlTAI_2020LU_RelaxFallX2,COEQWAL TAIESM1,Same as 45 but using Coeqwal's TAIESM1 climate,s0129_DCRadjBL_cqlTAI_2020LU_RelaxFallX2\Model_Files\DSS\output\s0129_DCRadjBL_TAIESM1_2020LU_RelaxFallX2_20260322.dss,s0129_DCRadjBL_cqlTAI_2020LU_RelaxFallX2\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.2.dss,10/31/1921,9/30/2021,,
s0130,s0130_DCRadjHist_cqlTAI_2020LU_EflowsV2,s0130_DCRadjHist_cqlTAI_2020LU_EflowsV2,s0130_DCRadjHist_cqlTAI_2020LU_EflowsV2,COEQWAL TAIESM1,Same as 46 but using Coeqwal's TAIESM1 climate,s0130_DCRadjHist_cqlTAI_2020LU_EflowsV2\Model_Files\DSS\output\s0130_DCRadjHist_cqlTAI_2020LU_EflowsV2_v0.1.dss,s0130_DCRadjHist_cqlTAI_2020LU_EflowsV2\Model_Files\DSS\input\coeqwal_s9999_SV_v3.1.2.dss,10/31/1921,9/30/2021,,
s0131,s0131_DWRadapt25_cqlTAI_2020LU_DCP,s0131_DWRadapt25_cqlTAI_2020LU_DCP,s0131_DWRadapt25_cqlTAI_2020LU_DCP,COEQWAL TAIESM1,Same as 65 but using Coeqwal's TAIESM1 climate,s0131_DWRadapt25_cqlTAI_2020LU_DCP\Model_Files\DSS\output\s0131_DWRadapt25_cqlTAI_2020LU_DCP_DV_v1_20260320.dss,s0131_DWRadapt25_cqlTAI_2020LU_DCP\Model_Files\DSS\input\coeqwal_s9999_SV_v3.13.3.dss,10/31/1921,9/30/2021,,
